"Invalid request, please try again.","Invalid saved product, please try again."
"The item ""%1"" is already in the ""%2"" requisition list.","The item ""%1"" is already in the ""%2"" saved product list."
"The product","The product",
"Requisition list ""%1"" could not be saved.","Saved Product list ""%1"" could not be saved."
"%1 could not be added to the ""%2"" requisition list.","%1 could not be added to the ""%2"" saved product list."
"The requisition list could not be saved.","The saved product list could not be saved."
"%1 could not be added to the requisition list.","%1 could not be added to the saved product list."
"View Addresses","View"
"Please enter less or equal than %1 symbols.","Please enter %1 characters or less."
"Please enter more or equal than %1 symbols.","Please enter %1 characters or more."
"Please enter more or equal than {0} symbols.","Please enter {0} characters or more."
"Please enter less or equal than {0} symbols.","Please enter {0} characters or less."
"Please enter valid SKU key.","Please enter valid Product code."
"Skip to Content","Skip to main content"
"Manage Shopping Cart","Manage shopping basket"
"Are you sure you want to clear your cart?","Are you sure you want to clear your basket?"
"Clear my shopping cart","Clear my shopping basket"
"Add selections to my cart","Add selections to my basket"
"Shopping Cart for %1 in %2","Shopping basket for %1 in %2"
"Add to Shopping Cart by SKU","Add to shopping basket by Product code"
"Add to Shopping Cart","Add to shopping basket"
"Shopping cart management is disabled for this customer.","Shopping basket management is disabled for this customer."
"You added %1 to your shopping basket.","You added %1 to your shopping basket."
"We can't add the item to your cart.","We can't add the item to your basket."
"We can't add a product to cart by id ""%1"".","We can't add a product to basket by id ""%1""."
"You added %1 product to your shopping cart.","You added %1 product to your shopping basket."
"You added %1 products to your shopping cart.","You added %1 products to your shopping basket."
"Shopping Cart Items","Basket items"
"Shopping Cart Management","Shopping basket management"
"View Shopping Cart","View shopping basket"
"View and modify Shopping Cart","View and modify shopping basket"
"Related Cart Price Rules","Related basket price rules"
"Cart Price Rule Related","Basket price rule related"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping basket right now."
"Customize and Add to Cart","Customize and Add to basket"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the basket, not to the entire basket."
"Maximum Qty Allowed in Shopping Cart","Maximum qty allowed in shopping basket"
"Minimum Qty Allowed in Shopping Cart","Minimum aty allowed in shopping basket"
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping basket"
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the basket."
"Allow Adding to Cart","Allow adding to basket"
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the basket because of an option validation issue."
